"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1327",2518.34831280464,-3.46946995603327,0.0698527359047876,0,0
"1351",1943.11862687269,-4.40272226247145,0.095287428842585,0,0
"1630",6238.63007069188,-2.79530687175109,0.0592654221889898,0,0
"2806",2117.17038684693,-2.60578934238354,0.0654284761965034,0,0
"2924",8775.98621629271,-2.91497332317199,0.0490380378787775,0,0
"3502",1202.75289403195,-4.0576200036703,0.0908438309404225,0,0
"3965",1890.95000813286,-4.86179881971015,0.0952423765290969,0,0
"3975",6576.46256405803,-7.74288599008296,0.130247284409874,0,0
"4597",1761.97651687969,-2.94413012883725,0.0779926448868089,0,0
"4764",3128.29705008032,-2.14000845555842,0.0499068317114169,0,0
"4996",4292.36212088708,-4.47059454759745,0.0671475590490972,0,0
"6064",1787.09496288147,-6.5244069853706,0.14576844931402,0,0
"6373",1876.79445253919,-2.68046435539162,0.0638750297185541,0,0
"7043",3723.58683544554,-2.43514169193587,0.0594434346294913,0,0
"7877",1572.52089337085,-3.90475535469701,0.0921218095027011,0,0
"9365",4370.51826304209,-3.37858154563156,0.0706059812372142,0,0
"9369",2066.27638634372,-6.65893314101504,0.160060783108738,0,0
"10232",1850.07527377526,-3.55000978231003,0.0776333548821342,0,0
"11948",1145.49322962484,-5.42800533178275,0.132584818792274,0,0
"12204",2496.41853797783,-5.59671792498105,0.107296165179362,0,0
"12205",5647.0968609853,-5.62538087417028,0.0760178210924387,0,0
"3584",887.78085361252,-4.20250543814588,0.113553634669979,2.16733086843777e-300,9.50095928984018e-298
"1908",973.739940264466,-4.92670088138194,0.133790584468253,1.73408019330723e-297,7.19080875835483e-295
"4611",1796.28864451088,-2.93263725377072,0.0797060313043285,2.37339813677706e-297,9.58290726646591e-295
"1186",5213.50205830203,-2.00228200140791,0.054603745120033,1.75007677780692e-294,6.88498153894654e-292
"12060",9591.90472103848,-1.93467217981564,0.054023041942539,1.6000070041397e-281,6.13722686612885e-279
"8761",837.935070008968,-4.82008180214331,0.141640284715332,1.02836043192576e-254,3.75669859691357e-252
