"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1276",1180.96162355391,3.0487690838344,0.0651013835822743,0,0
"4624",6494.1287392964,3.34465302750935,0.07104809827854,0,0
"5694",804.766714792037,3.46410431962793,0.0857977637618994,0,0
"8111",3877.39630925014,2.60030250118749,0.0560036660864616,0,0
"8972",1109.47432780163,3.72204375114049,0.0887734025186516,0,0
"9390",709.142358104807,4.58237541165982,0.118396590783988,0,0
"10047",5120.97914291274,2.71718201513247,0.0710351398856917,0,0
"11061",3269.32669715654,3.54620921035487,0.0810537647208064,0,0
"11144",6721.93439368964,3.33343013317291,0.0451713308856816,0,0
"11181",2415.4937857099,4.10997395016495,0.104323016138387,0,0
"11231",8914.89821235768,4.19780252274578,0.0528223419854755,0,0
"11405",1630.54137375298,2.76942648324549,0.0727164126808446,0,0
"12323",9973.72342913421,3.75555254057821,0.0788493484337906,0,0
"11228",6218.07133619016,3.73653741312352,0.101113515186388,4.72281215529234e-300,2.01283630274029e-297
"3071",2047.67893803485,1.92320539620578,0.0549629921612227,5.64593772431413e-269,2.11282006107687e-266
"1644",534.387741861348,3.39981157243969,0.100094417051646,1.29162501750572e-253,4.60869828920704e-251
"1634",1215.5992993816,2.78701130645692,0.0833821963216767,8.23643162738844e-246,2.80825712131157e-243
"10370",945.201224351976,3.09756692127954,0.0931535824193262,2.33912851543453e-243,7.80201061137217e-241
"1201",538.35918627479,3.74134796377269,0.113604381905015,1.3270955430086e-238,4.3322610460385e-236
"11366",1178.92778919704,5.23025571280493,0.159790582030614,5.403191437649e-236,1.65802332455697e-233
"6285",1076.07183888217,2.63900492679046,0.0810732153541828,3.43259951024717e-233,1.01281489011005e-230
"11861",3538.92456594798,2.51843583459783,0.0810211537142388,8.49401474866996e-213,2.32720836230077e-210
"9830",858.074468780223,2.59327963550331,0.0869410848884006,2.66465198263375e-196,6.92945006263554e-194
"3168",2057.31570028632,2.3594768038201,0.079366600098278,5.17111539582697e-195,1.32234039196955e-192
"1042",1165.09146928554,1.99201906620956,0.0673560138980693,7.49258180054527e-193,1.85417229944784e-190
"11818",1203.73393637391,2.45256665981344,0.0829890676788402,1.06494773321864e-192,2.59357032869423e-190
"392",4009.44320810543,2.17097377039815,0.0748643146129242,9.7446491095916e-186,2.23152464609648e-183
"9243",9304.70725765211,2.65864793828461,0.0918718561363763,1.91199823023821e-184,4.19082697807783e-182
"13091",940.586299586406,2.33076968617396,0.0814313996515661,6.704350804128e-181,1.39006559983427e-178
"3177",1624.94841875744,2.83159372393915,0.0995081656908289,5.61234494665808e-179,1.13302905942862e-176
"11646",1936.49879594866,1.81619814119317,0.0658953574357882,8.8532111328754e-168,1.63656407724949e-165
"5259",417.370198384517,3.14395959765784,0.116631061093626,1.25312521938875e-161,2.23566281873041e-159
"11401",413.499901621456,3.32876517985818,0.124750889676115,1.17922144558371e-157,2.05599939086259e-155
"4479",584.379430836289,2.35490852714005,0.088465767899434,8.23622956192827e-157,1.40409411298517e-154
"12361",896.758052288041,2.74169920121792,0.103432362591403,1.15153312352907e-155,1.9415354631106e-153
"11530",393.883617341263,2.8686157592722,0.109585289904341,5.51380472998656e-152,8.90508483917725e-150
"5300",380.118809671486,3.32363592335872,0.12744902401031,1.13790282598109e-150,1.79988072773484e-148
"6851",806.329155595927,2.15085486894211,0.0831733560970968,3.88374655629415e-148,5.89983400130902e-146
"7879",910.002216389617,1.97225606798999,0.0776126964051532,4.56148489975009e-143,6.79484105018113e-141
"5305",328.14133421573,4.51390186057278,0.179028487914573,4.6927249919716e-141,6.85718852874479e-139
"1441",417.63597533912,2.40271378290305,0.0955209827827453,2.84740822900248e-140,4.12148909977218e-138
"5589",830.769716845183,1.72626284104845,0.0689081022100999,5.17750020315744e-139,7.28792528596739e-137
"12329",674.12649890857,2.20201962274239,0.0884603963054263,1.79273203093895e-137,2.47800788745012e-135
