,log2FoldChange,AveExpr,t,P.Value,padj,B
792,8.514390625,-0.131416667,52.47070376,1.37E-16,5.82E-12,26.61840535
9825,6.748210938,-0.612432292,47.0731299,5.61E-16,1.19E-11,25.6696223
26026,7.176136719,-0.277598958,44.56322435,1.14E-15,1.27E-11,25.16254408
9798,6.015128906,-1.362273438,43.39500637,1.61E-15,1.27E-11,24.91019489
20592,8.242617188,-1.21809375,43.11857152,1.75E-15,1.27E-11,24.84886791
5332,7.989746094,-0.200645833,42.51302619,2.11E-15,1.27E-11,24.71229872
26028,7.661742188,-1.402390625,42.16355394,2.35E-15,1.27E-11,24.63206123
11589,7.894976563,-1.611192708,42.1235399,2.37E-15,1.27E-11,24.62280676
23291,8.666515625,-2.000669271,41.59763445,2.80E-15,1.32E-11,24.4998686
15191,7.289601563,-0.6300625,40.99090973,3.38E-15,1.37E-11,24.35496333
27832,9.566886719,-1.899416667,40.84976637,3.54E-15,1.37E-11,24.32077165
17885,8.83478125,-2.401072917,40.57286892,3.86E-15,1.37E-11,24.25315616
15231,6.936945313,-0.615052083,40.32846371,4.18E-15,1.37E-11,24.19287664
27830,7.924414063,-1.024895833,39.78915034,4.98E-15,1.52E-11,24.05784171
2590,6.842066406,0.598716146,38.90675294,6.66E-15,1.53E-11,23.83073949
5286,7.215773438,-0.74515625,38.81587565,6.86E-15,1.53E-11,23.80690462
27789,8.892984375,-1.955726563,38.81310699,6.87E-15,1.53E-11,23.80617714
17925,8.835214844,-2.397768229,38.74264026,7.03E-15,1.53E-11,23.78763514
35027,7.581980469,-1.539505208,38.67836477,7.19E-15,1.53E-11,23.77067763
34129,7.965367188,-1.303744792,38.67712329,7.19E-15,1.53E-11,23.77034968
827,8.961785156,-0.708804688,38.50001845,7.63E-15,1.55E-11,23.7234013
26036,7.308320313,-2.876690104,38.15872878,8.56E-15,1.61E-11,23.63200421
785,7.039214844,-1.066661458,38.05036798,8.88E-15,1.61E-11,23.6027277
17929,6.494847656,-1.346445313,37.79055656,9.71E-15,1.61E-11,23.53202099
36838,5.365027344,-2.011161458,37.61566774,1.03E-14,1.61E-11,23.484015
34089,8.120550781,-1.354419271,37.59675164,1.04E-14,1.61E-11,23.47880268
25993,5.949042969,-1.754614583,37.3948692,1.11E-14,1.61E-11,23.42292975
7127,7.931320313,-1.155679688,37.35543302,1.13E-14,1.61E-11,23.411963
17927,6.973171875,-0.841765625,37.35293331,1.13E-14,1.61E-11,23.41126728
33228,7.478398438,-1.267263021,37.31516491,1.14E-14,1.61E-11,23.40074714
5287,8.007515625,-0.924195313,37.19727494,1.19E-14,1.61E-11,23.36780777
19697,7.327277344,-2.79240625,37.16125685,1.21E-14,1.61E-11,23.35771315
39528,9.248242188,-3.047244792,36.89544438,1.32E-14,1.63E-11,23.28276486
26038,6.984664063,-2.037395833,36.83922089,1.35E-14,1.63E-11,23.26680987
18797,9.462703125,-1.798695313,36.79930866,1.37E-14,1.63E-11,23.25546185
8889,7.502121094,-1.453882813,36.7422862,1.40E-14,1.63E-11,23.23921747
3531,7.693101563,-0.35578125,36.64324106,1.45E-14,1.63E-11,23.21091339
34126,9.358949219,-2.235799479,36.62412837,1.46E-14,1.63E-11,23.20543861
10730,9.3269375,-2.046208333,36.36415237,1.60E-14,1.75E-11,23.13055017
21527,6.597964844,-1.112096354,36.02628448,1.80E-14,1.86E-11,23.03204489
1743,9.677101563,-1.977010417,36.00115865,1.82E-14,1.86E-11,23.02466562
7992,7.723875,-1.138171875,35.98406616,1.83E-14,1.86E-11,23.01964139
34991,6.177285156,-1.131088542,35.80560392,1.95E-14,1.92E-11,22.96697529
25129,8.868351563,-1.92203125,35.7246692,2.01E-14,1.92E-11,22.94296469
21533,8.46353125,-2.604971354,35.70142842,2.03E-14,1.92E-11,22.93605534
8886,6.503417969,-1.095768229,35.6375149,2.08E-14,1.92E-11,22.91702055
3537,6.606207031,-1.402059896,35.5850556,2.12E-14,1.92E-11,22.90136006
27790,7.444128906,-0.910104167,35.48465347,2.19E-14,1.95E-11,22.87129399
29638,6.3628125,-0.7476875,35.27409556,2.37E-14,2.06E-11,22.80784002
23330,7.517148438,-2.064283854,34.92378643,2.70E-14,2.30E-11,22.70105257
15230,6.34675,-1.200744792,34.67549989,2.96E-14,2.47E-11,22.62443049
7092,7.04784375,-1.163648438,34.52070443,3.14E-14,2.53E-11,22.57626213
38585,6.400042969,-0.918320313,34.51215461,3.15E-14,2.53E-11,22.57359267
38627,5.509886719,-0.236148438,34.37247553,3.31E-14,2.62E-11,22.52984771
25089,9.000261719,-1.924588542,34.08430493,3.70E-14,2.85E-11,22.43879466
3493,8.041320313,-2.297989583,34.05372243,3.74E-14,2.85E-11,22.42906749
28685,5.884859375,-0.640247396,33.95021002,3.89E-14,2.85E-11,22.39605205
5285,7.545609375,-1.16603125,33.90537062,3.96E-14,2.85E-11,22.38170625
23290,7.148632813,-1.819880208,33.88001373,4.00E-14,2.85E-11,22.37358178
24229,6.755488281,-1.011486979,33.86687167,4.02E-14,2.85E-11,22.36936762
19738,6.511707031,-1.462270833,33.66537743,4.34E-14,3.03E-11,22.30446602
34988,7.046429688,-1.102510417,33.61906827,4.42E-14,3.04E-11,22.28947244
4429,6.7693125,0.091890625,33.50196077,4.62E-14,3.12E-11,22.25142652
1695,8.203640625,-2.275171875,33.44588514,4.72E-14,3.12E-11,22.23314249
4425,7.209011719,-1.411054688,33.34696707,4.90E-14,3.12E-11,22.20078425
35935,6.293375,-1.897481771,33.34095472,4.92E-14,3.12E-11,22.19881314
