,log2FoldChange,AveExpr,t,P.Value,padj,B
20635,6.968056151,-1.118639297,42.40834625,8.23E-32,3.51E-27,61.91814638
32328,7.065220437,-1.324566585,36.71003424,1.18E-29,1.69E-25,57.28978776
34126,8.54307629,-2.007364788,36.70450931,1.19E-29,1.69E-25,57.28491486
17895,6.407910615,-1.09715482,35.26953862,4.67E-29,4.98E-25,55.99109585
15227,7.447505456,-0.708911356,34.43567027,1.06E-28,8.92E-25,55.21246605
29586,8.255641369,-1.72464951,34.09918036,1.48E-28,8.92E-25,54.8924465
16130,6.72416498,-0.335558824,33.9597251,1.71E-28,8.92E-25,54.75881455
8898,6.731521329,-1.15397835,33.92494846,1.77E-28,8.92E-25,54.72539777
10692,7.915186111,-1.283700163,33.86192621,1.88E-28,8.92E-25,54.66474556
19690,5.767576488,-0.804624592,33.41377462,2.97E-28,1.27E-24,54.22990953
18805,7.321689385,-1.968927696,33.01811637,4.46E-28,1.64E-24,53.84077014
15197,6.433480357,-2.600993464,32.98649573,4.61E-28,1.64E-24,53.80945532
18837,8.655237103,-1.235599673,32.43949871,8.15E-28,2.67E-24,53.26262184
11607,8.322539087,-2.151948529,32.23496491,1.01E-27,3.08E-24,53.05562477
11598,7.024049206,-1.357868056,31.93955791,1.38E-27,3.81E-24,52.75418937
19727,8.146327976,-1.071642157,31.88058398,1.47E-27,3.81E-24,52.69365881
20595,6.636142659,-0.818001225,31.85194572,1.52E-27,3.81E-24,52.66422196
18797,8.50185506,-1.319859069,31.78904991,1.62E-27,3.85E-24,52.59947406
20632,7.451683234,-0.756056373,31.36410738,2.57E-27,5.76E-24,52.15844874
22400,5.608668849,-1.01052451,31.27470448,2.83E-27,6.03E-24,52.06486212
24200,7.975856845,-1.044956291,30.95466666,4.02E-27,8.15E-24,51.72753301
34086,8.276604266,-1.82014134,30.81663037,4.67E-27,9.05E-24,51.58091056
7131,6.851375,-1.642998366,30.64207535,5.67E-27,1.05E-23,51.39451288
25996,5.845588988,-1.984930964,30.53148372,6.41E-27,1.14E-23,51.27584447
26039,7.592704266,-1.526666667,30.47669596,6.81E-27,1.16E-23,51.21688954
34129,7.422413095,-0.890269199,30.43732274,7.12E-27,1.16E-23,51.17445345
39489,7.230672718,-1.534881536,30.40924618,7.34E-27,1.16E-23,51.14415791
17033,7.587909921,-1.640716503,30.28337412,8.45E-27,1.29E-23,51.0079796
30491,6.920322222,-1.263493056,30.09269669,1.05E-26,1.54E-23,50.80056675
15198,5.880504762,-1.475430964,29.85319126,1.37E-26,1.95E-23,50.53810335
16143,8.159747718,-2.551743464,29.55845339,1.92E-26,2.64E-23,50.21211214
37739,6.042992361,-1.651423611,29.5271194,1.99E-26,2.65E-23,50.17725875
23290,7.366367163,-1.253528186,29.46370879,2.14E-26,2.77E-23,50.10660931
8907,7.957433135,-1.841068219,29.37395719,2.38E-26,2.95E-23,50.00634415
19687,8.211224405,-1.025182598,29.35830757,2.42E-26,2.95E-23,49.98882909
23291,8.585160615,-1.497626225,29.25349583,2.73E-26,3.23E-23,49.8712761
