"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"2889",855.048690170876,-3.29407069057625,0.0826530330193004,0,0
"6033",1957.67131143579,-2.84730605348846,0.0614512872152115,0,0
"9192",2108.06806065904,-3.71695614728893,0.0633699848836622,0,0
"9321",2262.51044501606,-3.05387215641773,0.0564010082525782,0,0
"10179",2003.16048817503,-2.79722720097177,0.0667951306693398,0,0
"11637",1362.21788286625,-2.21457544275262,0.0575715609807888,0,0
"11880",1252.17383523937,-2.88071303226326,0.0668710752192526,0,0
"3950",7212.86302307189,-2.344244081147,0.0626338193984955,1.26610039481418e-307,2.11153893345135e-304
"15406",1987.18704223507,-2.8276851508028,0.0764828804125443,2.28524782866015e-299,3.38775294777597e-296
"3940",2063.65367925358,-2.24769321287912,0.0625399740836941,7.76793576871698e-284,1.03639799026222e-280
"1671",843.797477075723,-3.34701647067954,0.0968942459207658,1.79904465708271e-262,2.00023781789979e-259
"6342",2019.73710194171,-1.82477760908402,0.0543610390306786,6.63690462214756e-248,6.81150626682252e-245
"1892",1062.85548256461,-2.71275644031411,0.0916976374240308,1.90936178789303e-193,1.81962178386206e-190
"1615",6696.42853816003,-1.67211719631712,0.057068494225007,9.81043501681434e-189,8.72605493295579e-186
"3965",1549.45042409712,-2.69633288478739,0.0929617522932928,4.65191295545107e-186,3.65093074421342e-183
"13189",732.445541228789,-3.26868678315267,0.112740814003735,4.4521053138057e-186,3.65093074421342e-183
"9695",3233.95951633794,-2.85207306096196,0.0984842554106248,1.60739726806677e-185,1.19143857503038e-182
"8008",761.702450110894,-2.20347330357086,0.0767206138608867,2.25302601494211e-182,1.58209858375566e-179
"12300",955.326549995854,-2.7777692392818,0.0969381346505085,1.17164868088418e-181,7.81606835017835e-179
"4274",637.84482248863,-3.18564658364473,0.112873123032205,3.05381370183841e-176,1.940189638568e-173
"11166",7049.67271105919,-1.90006474643828,0.0673195502485467,4.79242824578782e-176,2.90638989342278e-173
"11080",5531.32560558096,-1.57927517593372,0.0563070638513302,7.15624175103495e-174,4.15124249749167e-171
"6037",798.299935203902,-2.03326092092596,0.0752628681494157,1.0676340225933e-161,5.93515547059991e-159
"10833",579.07793710458,-2.64320668417245,0.0979788534791569,2.37400375540844e-161,1.26695832418637e-158
"12137",6186.2903087609,-1.36171436571294,0.0518003477109278,8.0588894845028e-153,3.84006083936559e-150
"14185",402.128637367547,-4.60132181727893,0.175609570780937,2.5915367525891e-152,1.19228563286358e-149
"6731",269.951253024806,-3.55320932238748,0.141996090018964,3.72232064810665e-139,1.65544006956796e-136
