"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1315",2733.79721979465,-3.4658417698274,0.080934322764657,0,0
"1339",2119.90648945072,-4.3468615694201,0.109778725934379,0,0
"1615",6696.42853816003,-2.76989549732275,0.0673746871902871,0,0
"2903",9487.001072284,-2.9189786350271,0.0546965289063863,0,0
"3480",1307.01284741095,-4.0849046795354,0.107298103230907,0,0
"3940",2063.65367925358,-4.86638416207951,0.112523119096546,0,0
"3950",7212.86302307189,-7.73606800027184,0.1560955766207,0,0
"4968",4684.44488907805,-4.47631530562988,0.0775095379217552,0,0
"9317",4728.04356842203,-3.37476796121918,0.080816148147126,0,0
"10179",2003.16048817503,-3.52518058132654,0.0897715861682962,0,0
"12136",2733.67819261469,-5.58545894627646,0.126183668854807,0,0
"12137",6186.2903087609,-5.63927192971435,0.0891596661139886,0,0
"6033",1957.67131143579,-6.52375772332825,0.176305982894076,2.43844626311394e-299,1.87324008717953e-296
"7009",3983.09322046732,-2.43952064755068,0.0669096368390861,3.25652591913226e-292,2.26344058645974e-289
"7841",1711.6018011713,-3.91681262767919,0.107912946432263,4.70727474264065e-289,3.12306282470832e-286
"4738",3352.92782341432,-2.12659910809066,0.058700986696294,4.47876839646669e-288,2.8422653702099e-285
"6342",2019.73710194171,-2.65847641958059,0.073490192597182,2.75702133187861e-287,1.67672847333751e-284
"2786",2283.5996148549,-2.58647233271768,0.0753424779691804,6.30727133605807e-259,3.54080509311937e-256
"11880",1252.17383523937,-5.42234977269251,0.159603855561472,4.90622144764508e-253,2.65226697221583e-250
"9321",2262.51044501606,-6.76132627968441,0.201580023973091,3.70228506092518e-246,1.92994831247371e-243
"4571",1908.58183035217,-2.95092287366346,0.0912405666659979,2.39251264043708e-230,1.09128482811936e-227
"1178",5526.97601504378,-1.99634234999986,0.0619076997508007,2.01110202064343e-229,8.63354267450338e-227
"11992",10187.4637003205,-1.88830012209408,0.0594071430060179,9.39996626209623e-223,3.81116409893213e-220
"4585",1941.41663512518,-2.90248010605568,0.091517650804713,1.88340843863455e-221,7.42979177575941e-219
"3562",966.986015139016,-4.184012681036,0.133936152469767,8.1460435717097e-215,3.12893820980723e-212
"1892",1062.85548256461,-4.88093635176491,0.15633342248766,1.53316474647051e-214,5.73796734345733e-212
"8716",913.802377356934,-4.78380319344144,0.165707533343762,4.57188624396085e-184,1.55188957248494e-181
"8008",761.702450110894,-3.1717811167553,0.110657632249622,2.24849901743294e-181,7.45888446782983e-179
"11601",1797.48428855909,-2.44724323026559,0.087767960124824,1.05039602990878e-171,3.33295227229316e-169
"1671",843.797477075723,-6.24545140601617,0.227086496405186,1.76487723003543e-166,5.15202960991943e-164
"15406",1987.18704223507,-7.35730615234183,0.268822553131275,1.58503611135799e-164,4.44907443872715e-162
"3119",795.510079987346,-2.84795644429727,0.105402417308996,2.04333534965265e-161,5.62726844594909e-159
"3900",1053.34879454342,-2.92172830815367,0.10871689764215,8.16828958440708e-160,2.20785842174085e-157
"6478",961.359236254983,-2.73603653070089,0.102268838073628,3.55021038001834e-158,9.42161285577232e-156
"7102",861.923350266654,-2.75483092972234,0.10706469075029,8.34161373549909e-147,2.08624405694345e-144
"7172",891.301331828075,-2.99670578219461,0.119189826428702,2.79446380910649e-140,6.79799895961972e-138
"249",665.53102414445,-3.71050901732964,0.147852714321912,1.41903601762491e-139,3.39545077266447e-137
"11639",673.381640829662,-4.94688550399916,0.196889016995232,1.71242997853097e-139,4.03139160752225e-137
"9974",537.978279281648,-3.3468406210406,0.13452589351625,3.35407728181781e-137,7.53170953929428e-135
"6460",746.231131817309,-3.78473379777693,0.152982231590423,1.36629943809311e-135,2.97649352215031e-133
"8963",900.950894606828,-2.87998893886785,0.116690797322488,2.58613919323801e-135,5.55107171536793e-133
"2889",855.048690170876,-2.20132191877137,0.0893518215828834,1.02597824760634e-134,2.17031572493655e-132
"10309",754.150455196229,-2.78897714335281,0.113372724033847,2.30429098709644e-134,4.80477589252281e-132
"7471",750.300123394222,-2.6844952110041,0.109278014002312,5.82508834285262e-134,1.19750689369404e-131
"1900",658.178467577877,-2.77415087141763,0.113928772806415,1.18010420131655e-131,2.35956177019403e-129
"7585",751.128012471223,-3.52710704484386,0.147085845250976,8.04121332492932e-128,1.52427986611258e-125
"4175",1131.44949092673,-1.98713858574227,0.0831375205202114,7.15257600539525e-127,1.33844870993268e-124
"3965",1549.45042409712,-7.63178881756726,0.320297947081035,8.0874014687822e-125,1.47554639797931e-122
"42",583.856426684192,-4.52580351830433,0.192476809735024,1.02549888398286e-122,1.84792366797701e-120
"10693",497.853342508074,-3.3817229109375,0.146381591037032,1.12583881058387e-118,2.00399308283929e-116
"10833",579.07793710458,-6.21827789747711,0.270642291052006,1.2143354985136e-116,2.13547481160295e-114
"13189",732.445541228789,-3.1195138567223,0.137021610884554,1.34959180070236e-115,2.34507641941091e-113
"2992",473.273933680326,-4.01175180101653,0.176641430818619,1.26018887800671e-114,2.13880428644023e-112
"9154",529.954834870313,-4.58561353220833,0.202604718902445,9.70631871534323e-114,1.62843020654195e-111
"4602",646.3710478539,-2.53588753050061,0.112936488951919,3.21981147927453e-112,5.28049082601023e-110
"15653",922.619396815587,-6.33998851107321,0.2829322691549,7.18618908533478e-111,1.14010452053855e-108
"9047",786.57242836716,-2.59977758890225,0.116664713914575,8.2026193540918e-111,1.28737023755187e-108
"6727",562.126625853155,-2.91369309885267,0.131548349627607,2.82493959352733e-109,4.38647003267286e-107
"4868",518.149619628337,-3.45425556853309,0.156265589125077,7.55779689862947e-109,1.14910003679579e-106
"8005",614.34179949687,-5.9358160170914,0.268100352565162,1.45293168806268e-108,2.1639786652003e-106
"8879",681.300390175831,-3.27075811682397,0.148446271570404,2.41750954144346e-108,3.56423931988978e-106
"5659",587.810161254419,-2.65553560880312,0.120975565693099,2.43727925273992e-107,3.52223049237543e-105
"11876",543.644423979668,-2.84089947256462,0.131604325528185,4.52749123374546e-104,6.41585068424745e-102
"3966",430.200337591889,-3.47413022417118,0.162933945800335,1.58993241202663e-101,2.18930693263591e-99
"11948",12082.2979666398,-1.36320499426037,0.06402996944101,5.23677831007268e-101,7.14355291717951e-99
"14923",1315.22455141954,-7.85557740053734,0.3697430826584,3.05859542065018e-100,4.09571181282661e-98
"1859",897.99141327452,-2.22595164151397,0.105346283515928,8.73102722772034e-100,1.14809075149375e-97
"8973",661.332918765124,-2.31348334236675,0.109628220572551,1.80422582227094e-99,2.35129286623809e-97
"4932",726.851002327329,-5.83355631660044,0.276392405814886,8.5870571428034e-99,1.10917421288813e-96
"13582",581.231761986303,-2.67751786188358,0.128803146192962,1.42432475659351e-96,1.79219346096887e-94
"11677",493.216860344715,-4.55344080680958,0.219318508356239,5.09895622556432e-96,6.36105684344758e-94
"2352",670.980728752175,-2.3095187220663,0.112043852758957,4.58343376566621e-95,5.62183186921546e-93
"6905",363.253479147347,-3.80764596088295,0.186248706272707,2.13348586456848e-93,2.59502997327012e-91
"7996",1184.16067956454,-1.81334872485887,0.0888118782840965,3.42913160512589e-93,4.10259056626373e-91
"7791",404.592521182701,-3.88430668668875,0.19093891017424,1.25495992433975e-92,1.4892191102165e-90
"7925",411.403194443891,-3.7517546332813,0.185978582265444,4.28954652107362e-91,5.00881768172725e-89
"5032",377.11984977881,-4.60778701415112,0.228501620564897,7.37158364675076e-91,8.53933610380746e-89
"10346",361.225169404816,-3.61808511215663,0.181182054712753,2.08792722729431e-89,2.39963667792029e-87
"8176",399.35091545104,-3.52622580383311,0.176943398578881,7.54587845903804e-89,8.60465953032182e-87
"13814",443.663710340602,-2.9198710959478,0.147697708014769,1.36852226120422e-87,1.51325385791945e-85
"14188",1865.33988444349,-8.55832616292602,0.428996049078126,1.58433773386293e-87,1.73872132056115e-85
"14185",402.128637367547,-5.16314299893855,0.261775158206434,4.84912175340422e-87,5.28192396363343e-85
"11904",482.39105792457,-2.66963138486397,0.135956819990028,1.76953466125304e-86,1.88526481136126e-84
"11414",475.530571215611,-2.89309201214504,0.147538453726427,2.89458886753852e-86,3.03952655471886e-84
"6180",361.768010104186,-2.91074896265336,0.149093164826657,1.57259297178111e-85,1.63954050115122e-83
"4221",459.594046354656,-2.9226615469347,0.149904303597348,3.02601497500258e-85,3.1324620266055e-83
"7587",458.854229484581,-6.01159291588185,0.312172954235741,2.17795072886198e-82,2.19237026472203e-80
"1246",315.19411208683,-4.40988422172302,0.229951631325309,2.77801908954411e-82,2.77725798842368e-80
"9928",506.644959702232,-2.73929050633373,0.144352008518742,6.2654298705611e-81,6.1375982812557e-79
"11126",456.093483663758,-3.64576432070422,0.192297894679496,8.88230928416741e-81,8.64307908744717e-79
"6037",798.299935203902,-1.65328550917657,0.0877304977385015,1.01460941243114e-79,9.61638895054867e-78
"7825",404.67134932218,-2.53309596426408,0.134705055888273,1.48266893141748e-79,1.39619585309481e-77
"15229",670.011795303926,-7.05187839609014,0.372035504418186,1.66016892516232e-79,1.55332215587623e-77
"32",358.85006781953,-4.15038519976185,0.221425778756564,8.9792033587351e-79,8.34779950471959e-77
"14276",691.826488675581,-2.31868104882787,0.124109275679314,1.55796774807195e-78,1.43924666144672e-76
