"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000109971",8775.98621629271,-2.37428444327624,0.0490332113404014,0,0
"ENSG00000120738",6576.46256405803,-5.37939585228272,0.130765582900492,0,0
"ENSG00000132002",4292.36212088708,-3.3148661214286,0.067474334041935,0,0
"ENSG00000137331",822.864585913383,-3.8435730149169,0.102213797376131,0,0
"ENSG00000168209",1053.0499884825,-3.41992402704114,0.0893170058402527,0,0
"ENSG00000196878",1657.95784154661,-3.16524262286935,0.0744807063406747,0,0
"ENSG00000204389",5647.0968609853,-4.24866428913051,0.0763281382397699,0,0
"ENSG00000204388",2496.41853797783,-3.96351943773767,0.108032817840025,2.75896724224085e-295,1.58861333808228e-292
"ENSG00000128016",1761.97651687969,-2.73560671752901,0.0775670134397011,4.95701867369698e-273,2.46056151061614e-270
"ENSG00000086061",2518.34831280464,-2.42770038974551,0.0703812144209806,3.42244258592328e-261,1.64220203414552e-258
"ENSG00000130066",3128.29705008032,-1.56560359453196,0.0499085655556981,1.91923063368865e-216,7.08392947998671e-214
"ENSG00000161011",1572.52089337085,-2.82297784564926,0.092786565339885,5.57210947637911e-204,1.82296627073812e-201
"ENSG00000120129",972.838211964945,-2.64663463029677,0.092101973211059,1.60291621628195e-182,4.04806647954013e-180
"ENSG00000087074",1943.11862687269,-2.74332503852442,0.0965799811758832,3.99968144743709e-178,9.92679559238911e-176
"ENSG00000115758",1202.75289403195,-2.56470631442631,0.0921793938406744,6.09406676584204e-171,1.41490469506929e-168
"ENSG00000170315",4370.51826304209,-1.921106053657,0.0711314002164792,2.6608605618108e-161,5.63280702753918e-159
"ENSG00000120694",1890.95000813286,-2.59036733584024,0.0973479722166076,1.03819012739649e-156,2.04722560053047e-154
"ENSG00000108654",2117.17038684693,-1.68638916571517,0.0659748484838953,1.34996559897952e-144,2.42909434966378e-142
"ENSG00000260032",640.409387414664,-2.64658222088059,0.10404865582432,1.94142893952617e-143,3.45023081289867e-141
"ENSG00000245532",536.474098744091,-2.714481182343,0.109566241133649,3.64433470293614e-136,6.2452616724721e-134
"ENSG00000140403",1787.09496288147,-3.65583831797768,0.148229879838153,1.11338171521021e-134,1.84219882648862e-132
"ENSG00000128272",1796.28864451088,-1.96530863682549,0.0802332274634375,3.87039787953951e-133,6.26004241303048e-131
"ENSG00000198431",240.655865364802,-3.74867523948182,0.154219395114132,4.28103224615985e-131,6.77202848170012e-129
"ENSG00000144136",684.251891855859,-3.13462455902076,0.130389031712007,2.842905082882e-128,4.44821942044418e-126
"ENSG00000150991",3723.58683544554,-1.43449557743582,0.0597700904044384,1.03655810800659e-127,1.58736744305902e-125
"ENSG00000271303",446.053731123172,-2.55813261124367,0.106989490372719,4.37800840614255e-127,6.63383484278126e-125
"ENSG00000147162",518.652177738878,-2.57750831127716,0.112099756837662,1.60533304322643e-117,2.22199703435042e-115
"ENSG00000259001",1701.60233627902,-6.0498749540683,0.263823142385772,1.15193639377226e-116,1.57924994174778e-114
"ENSG00000006327",979.184796857992,-2.07967330448728,0.0911236224227998,6.87523103925355e-116,9.24943465514532e-114
"ENSG00000108179",631.124787207606,-2.01874566525817,0.0890694479435663,2.58144118862154e-114,3.40916017524836e-112
"ENSG00000170345",2066.27638634372,-3.58632064987122,0.163331610963884,3.60185310591314e-107,4.21533946826176e-105
"ENSG00000116560",887.78085361252,-2.51019726167816,0.115876420867515,1.23374170541225e-104,1.39840250782751e-102
"ENSG00000112110",736.593197823147,-1.98195072060544,0.0923003859800859,8.10507732284084e-103,8.90630443223618e-101
"ENSG00000175592",496.057934908315,-2.46201320889881,0.115828791426642,1.18438005222822e-100,1.27232469043472e-98
"ENSG00000167615",626.639741835658,-2.72509595660447,0.128468942747895,1.86300242524113e-100,1.98651258602564e-98
"ENSG00000175197",468.069313627406,-2.60033759862796,0.122938209702622,5.85732012689196e-100,6.19971494313307e-98
"ENSG00000197279",451.330581558846,-3.80717274495853,0.18045135715053,3.18942113512368e-99,3.35122023650404e-97
"ENSG00000168003",614.673115499596,-1.97360488791861,0.0942832509487633,8.20370953237795e-98,8.3163661069423e-96
"ENSG00000117394",724.59729882715,-1.54147427787862,0.0758961363550851,3.28415136424385e-92,3.23803828001988e-90
"ENSG00000273802",1813.29065931254,-4.56101789635045,0.226231694975385,4.69596309593539e-90,4.53680461516711e-88
"ENSG00000277075",842.667591047481,-4.3731800624375,0.21876336718214,4.02787137355889e-89,3.78962146551504e-87
"ENSG00000131652",663.334593582993,-4.58309209407453,0.22936589585235,4.85732334513437e-89,4.54033568527333e-87
"ENSG00000178209",290.181344605334,-2.85353099788159,0.149778030108461,9.4093672320928e-82,8.15950851240819e-80
