"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"9008",1137.88934391006,3.05647815397668,0.0882049691498889,3.63924150299714e-264,4.41406910299889e-261
"3656",749.895782398692,2.28419033802747,0.0848331349709867,7.01228956348001e-161,3.59838335984424e-158
"5559",807.633650384759,1.84357058562761,0.0699666304335203,7.50821363882823e-154,3.71016986552764e-151
"9994",4677.24640998446,1.7617777351137,0.07609251431267,1.80236244163596e-119,5.59235341774581e-117
"3050",1931.14799207287,1.34068424070355,0.0587653581143084,4.7331971820413e-116,1.40334037339544e-113
"11879",261.067977750989,3.0258268533312,0.134016617471593,8.64834796949528e-114,2.45502677891502e-111
"5652",895.839809025949,1.7148572074543,0.0795356190123469,6.2248181060896e-104,1.48306291377585e-101
"8970",1020.46136584764,1.75675951135598,0.0830772274661926,6.78032341447242e-100,1.48300122944084e-97
"11340",1458.03698163604,1.53026744632121,0.0797745182244654,8.42842261312351e-83,1.37136603054017e-80
"5231",379.477581791178,2.32623819242313,0.123394016037061,3.86263344782946e-80,5.99247156522565e-78
"2286",274.990380697718,2.15858197878218,0.12145927798379,1.58117487816587e-71,2.06823874749893e-69
"5308",1551.19627220544,1.13208523273426,0.0640704104549774,1.93846375679761e-70,2.48682533107632e-68
"1007",577.596107089068,1.37717526425286,0.0824626819017508,2.74162301595914e-63,3.09989273550228e-61
"299",162.540314817924,2.65349479396252,0.17294006050707,4.32627857282308e-54,4.18269628395693e-52
"15032",477.112548922769,1.40072097785217,0.0965597061802684,2.14365492387624e-48,1.86932313688607e-46
"5196",362.482061499262,1.3853391114671,0.0959559285138266,6.35433181311344e-48,5.46964484197158e-46
"8112",171.123110138705,2.59325260578694,0.195292538749049,4.18290804515091e-41,2.95282323483616e-39
"11191",80.401558551315,3.38985310232118,0.260432956602624,1.22806439696707e-39,8.35960978792583e-38
"9256",306.478467401578,1.49443901597996,0.122681535589644,6.56980655479471e-35,3.77820513164099e-33
"10251",312.208451817299,1.50834807140123,0.134566730446294,6.33883402773851e-30,2.99903275170522e-28
"782",450.47016360779,1.02138913033301,0.091012307764439,9.78654340831466e-30,4.56545671866203e-28
"1951",116.874911498241,2.19732791128888,0.201477168707823,1.2208320247477e-28,5.46588619939052e-27
"3268",68.5382939201925,2.34797722309357,0.239304463605448,1.07032309122263e-23,3.97778570559676e-22
"5605",62.5439047918317,6.677588120082,0.667065434395729,3.44277140750852e-23,1.23145994957047e-21
"9229",88.1581348954909,2.05476414595806,0.221253900098365,1.97148608034e-21,6.55949308825343e-20
"2573",229.943615540179,1.16598242130223,0.125521998933939,4.10085566642562e-21,1.34431489684154e-19
