"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1266",1007.97350802213,3.05678663069675,0.0754911720853081,0,0
"4598",5360.70064472489,3.35516690187032,0.0852615580922447,0,0
"8071",3332.08268526616,2.60393152801731,0.0670285980400764,0,0
"11080",5531.32560558096,3.34475917332955,0.0544714147950025,0,0
"11166",7049.67271105919,4.21128490452616,0.0640611327547357,0,0
"12254",8021.66887816998,3.76163456897626,0.0935673527653614,0,0
"10997",2667.18367448873,3.54409448458438,0.0965054468827772,3.19703714382611e-296,2.33319770756429e-293
"5664",676.116091582732,3.46803676487802,0.0995238619832502,6.48639608871327e-267,3.78701749243435e-264
"8925",872.256221867527,3.72690434777679,0.112873991794149,5.31023787102492e-240,2.67269765398206e-237
"9342",555.01437046772,4.58694791897771,0.140058509510899,4.51633797865679e-236,2.19734897121582e-233
"9994",4677.24640998446,2.73048830904404,0.0842780595381199,5.43984420243972e-231,2.56128922512291e-228
"11116",1901.0973836303,4.11289341541832,0.127488447036557,3.13189863173777e-230,1.38524825541953e-227
"11340",1458.03698163604,2.77067183773072,0.0865713251041345,1.51043730391091e-225,6.29895511082388e-223
"11163",5026.17971423352,3.7402849471328,0.119879236513253,2.04587192109063e-214,7.46538664005969e-212
"3050",1931.14799207287,1.94071013021498,0.0645692691399355,7.77650479642825e-199,2.76843570752846e-196
"1629",452.385373401806,3.42369409358416,0.114835126364766,3.76123801978472e-196,1.30711976516138e-193
"1619",1050.32587710816,2.81834498129042,0.0991296698869275,1.39431737665799e-178,4.52254587326666e-176
"1192",439.730165716254,3.75221311019451,0.135051500020434,1.03294569121232e-170,3.20784581041169e-168
"11301",927.536096498449,5.24148237665202,0.188875482228113,2.19522654351305e-170,6.6753180477326e-168
"10315",800.067189062348,3.10567747335319,0.112654861409797,4.31794089465771e-168,1.28621765915151e-165
"6254",941.389366491088,2.64340888436946,0.0966426765982402,1.91277542536833e-165,5.47428825660317e-163
"11794",3146.85578892518,2.5416209936605,0.0962290887283831,1.73461364103587e-154,4.52114655438564e-152
"1037",1050.3363889743,1.98237066664449,0.0761579290500747,5.85965157907114e-150,1.5004820078618e-147
"11752",1081.4029664879,2.48813920745493,0.0966792334361932,8.43302270208713e-147,2.08624405694345e-144
"9778",747.808211365406,2.59703211469798,0.104171279232645,6.1363216916218e-138,1.421678593824e-135
"3147",1838.89885451599,2.36797306968301,0.0950724550783442,1.27743333481512e-137,2.91334639921273e-135
"388",3644.06330550203,2.1984578776057,0.0884717765239863,9.82621549493011e-137,2.17308244490909e-134
"9195",7943.40763947047,2.66946608381969,0.108951502708483,2.91678945828373e-133,5.9129804073763e-131
"5231",379.477581791178,3.16938998284522,0.130786646143439,2.22070524126841e-130,4.3801910407505e-128
"13009",834.501891645058,2.34816375436334,0.0969867860049428,3.42277949165832e-130,6.66118526136598e-128
"3156",1407.3680492811,2.85570514177041,0.118677857027362,1.04441039690206e-128,2.00581765173453e-126
"11580",1754.51770872658,1.84153877400528,0.0773961743713642,1.09433502053645e-125,2.02188784300633e-123
"11465",343.255810691368,2.87022291998637,0.126071906226772,1.50055735935073e-115,2.57672179024509e-113
"11336",346.915676231013,3.35574328495906,0.148904223712244,2.75829499989259e-113,4.57500838845822e-111
"5559",807.633650384759,1.74267624069339,0.0778331574077419,1.16006674009101e-111,1.88137045981871e-109
"4454",512.127887482358,2.36110259797973,0.105645663425468,2.96565966904521e-111,4.75678775048175e-109
"5271",318.715090440613,3.33677668451188,0.150789294945856,3.13734009897476e-109,4.82027537733006e-107
"12292",786.807009054363,2.75032182827348,0.124605629736618,1.23720593643983e-108,1.86167606683256e-106
"1429",369.547460980651,2.40303439327132,0.109503041891828,1.98978459260977e-107,2.90428959137321e-105
"6819",723.713659774353,2.1520021937239,0.0985408708702476,2.2378448440271e-106,3.20231209249211e-104
"7843",823.894054543162,1.99413027016586,0.0930553799154823,1.78817265501955e-102,2.5096315454486e-100
"5276",260.960548596331,4.52498100565614,0.211684634960717,3.18600864356296e-102,4.42885544394713e-100
"12260",617.948133707977,2.21430228040595,0.104228123168756,9.39471088259418e-101,1.26967777816986e-98
"6277",630.396301988272,1.91465881720799,0.090560315036204,7.71629138174327e-100,1.02388171825386e-97
"3496",395.171593866865,3.21293080767743,0.153204589654154,1.73086541127001e-98,2.21611504762255e-96
"4915",607.923769563417,1.77438378091008,0.0852726595629785,1.04755443639132e-96,1.32957430900589e-94
"5624",898.194426794167,1.73565348705263,0.0840714717123799,3.25168895324211e-95,4.02217389504422e-93
"10177",502.658964120918,2.08250419267391,0.101819731545454,2.77500555526033e-93,3.34743645327106e-91
"11795",513.772253791345,2.403366364483,0.119023805003057,2.23734136634504e-91,2.63356730509453e-89
"6241",832.179263839981,1.84676513720708,0.092987938154506,2.60894997615611e-88,2.95195611255617e-86
"5274",285.450783574622,4.45293123580777,0.225057402519853,5.23141421508406e-88,5.87367091410514e-86
"8513",234.894983328596,3.92984619526483,0.198892817008851,9.80255153563912e-88,1.09219879552816e-85
"10846",829.417769162075,1.94898305705348,0.0989098003051196,5.08923289725695e-87,5.5024032124713e-85
"11813",449.846052575886,2.19317308906101,0.111520318872183,8.93284876303598e-87,9.58704856950538e-85
"11423",2398.81318847955,2.27285582973452,0.115889696849671,2.5859383670603e-86,2.73509829026174e-84
"8892",309.760472069352,4.67090357877275,0.240089488470767,3.49070144817289e-85,3.5880477702487e-83
"6099",602.281561266966,2.00877879607823,0.10417248218039,2.02468784699026e-83,2.06659746955733e-81
"8400",208.372102538844,4.07641933666178,0.212963341146156,1.06040188987367e-82,1.07483513781918e-80
"10814",1176.36540488186,1.81974444777703,0.0953285579832517,8.48675821229154e-82,8.4267158412658e-80
"5696",185.829799706628,3.46261122583646,0.182200972603257,2.36317361653497e-81,2.33060014236111e-79
"8073",1083.05696278252,2.7597923205345,0.145934742686149,1.52457759069569e-80,1.4736910274036e-78
"5491",231.913070858957,2.81542477974855,0.149123309954114,2.76495535225818e-80,2.65508475799739e-78
