"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"7007",-1.95933076923077,-3.91966568047337,-11.8667225721655,1.1260135751514e-08,1.23343115065899e-06,10.3556898625699
"10242",-2.08036634615385,-1.67036686390533,-11.7466323891697,1.28201328801209e-08,1.35874499778721e-06,10.2240239793187
"8592",-1.50223653846154,-2.65463905325444,-11.689511088006,1.36415242419866e-08,1.42893972154617e-06,10.1609698663086
"10562",-1.78349423076923,-3.33352662721894,-11.2494505512179,2.22005320451147e-08,2.08715975814453e-06,9.66575647698684
"22342",-1.63657019230769,-3.2773875739645,-11.0048556921877,2.92993359642838e-08,2.50046518256711e-06,9.38306605015124
"3954",-1.75941634615385,-3.74840532544379,-10.9175565813284,3.23883419047179e-08,2.72524762598269e-06,9.28084401018679
"1430",-1.77508653846154,-2.63233136094675,-10.8303989937283,3.58203163826065e-08,2.9450529686743e-06,9.17808041020397
"5742",-1.63867019230769,-2.97704142011834,-10.755933538774,3.90593215572964e-08,3.14655238617064e-06,9.08971629642762
"2999",-1.69626442307692,-3.16983727810651,-10.4205223112547,5.80334916069337e-08,4.3439277498865e-06,8.68511992751146
"8859",-1.99823942307692,-3.79668343195266,-10.4071030702078,5.89724188800599e-08,4.39245159129599e-06,8.66870489885108
"27338",-1.45738076923077,-3.5292426035503,-10.2696764590141,6.95730399836893e-08,5.10140766035504e-06,8.49957049184548
"3203",-1.64369519230769,-2.04927218934911,-10.1892157528481,7.67050143036359e-08,5.53400493758099e-06,8.3996684094781
"13165",-1.79233653846154,-4.30898520710059,-10.1220638909426,8.32523094018732e-08,5.9114075583002e-06,8.31578957839905
"3375",-1.86822596153846,-3.00713017751479,-10.0508518794195,9.0849065935382e-08,6.33694368879248e-06,8.22633669913986
"2399",-1.69997980769231,-3.40880473372781,-10.0127486375316,9.52133843064203e-08,6.59137126155178e-06,8.17825947660931
"766",-1.75862596153846,-3.77359171597633,-9.96491650843531,1.01009796503044e-07,6.89958360942559e-06,8.11769437450355
"11155",-1.77219326923077,-2.9017426035503,-9.93680792376704,1.04590003689397e-07,7.11707242908397e-06,8.08199249987427
"226",-1.92881538461539,-3.84219822485207,-9.89771014453359,1.09795756298799e-07,7.38736278662837e-06,8.03219586721492
"16059",-1.64644519230769,-3.3195798816568,-9.81035289425172,1.2244797016189e-07,8.08684018718429e-06,7.92035482021441
"25844",-1.86102019230769,-4.80584911242604,-9.71118631181339,1.38711673342887e-07,8.78972083163421e-06,7.79241670340504
"16933",-1.89995961538462,-2.81160946745562,-9.63679165274458,1.52412874541954e-07,9.47412140037694e-06,7.69574826370197
"2558",-1.74487692307692,-2.41868343195266,-9.32858477609504,2.26506043512489e-07,1.32327408737565e-05,7.28885302584815
"5267",-1.59973653846154,-3.52244674556213,-9.28607942328606,2.39409006488923e-07,1.39185202327124e-05,7.23191398746227
"9161",-1.84693173076923,-3.89041124260355,-9.24202663659286,2.53608259040884e-07,1.45790258225279e-05,7.1726883436014
"11029",-1.76389134615385,-3.91921301775148,-9.21526093891057,2.62669687793224e-07,1.50278012941445e-05,7.136597210719
"8802",-1.72950288461538,-2.88700591715976,-9.18855293341521,2.72054712744077e-07,1.54907349828557e-05,7.10050320964697
"1579",-1.91107596153846,-2.46889940828402,-9.14217873884721,2.89205587055361e-07,1.63378420397989e-05,7.03763962039871
"757",-1.7786375,-4.10592307692308,-9.10717012329257,3.02911382341758e-07,1.70051610252454e-05,6.99002076570236
"15035",-1.68484423076923,-3.0275650887574,-9.08012583575552,3.13970324641613e-07,1.75437632877893e-05,6.9531391457163
"390",-1.85706538461539,-2.90423668639053,-9.00741018928148,3.45883097845562e-07,1.90894528763336e-05,6.85355680693926
"3310",-2.5582625,-3.29576923076923,-8.96490780273675,3.66114304258644e-07,2.01133346142337e-05,6.79506823418864
"39993",-1.49154038461538,-2.85231360946746,-8.92820579711566,3.84594711268485e-07,2.08732679473797e-05,6.74439305727851
"21257",-1.56462884615385,-4.29921301775148,-8.85350346359595,4.25333962058921e-07,2.28086924221119e-05,6.64076462318717
"18123",-1.62722115384615,-3.11351775147929,-8.79483306412248,4.60531209339342e-07,2.43688156411682e-05,6.55891677344758
"9527",-1.84195096153846,-3.72705325443787,-8.78178507686074,4.68770817978117e-07,2.47319628768513e-05,6.54065904576275
"39914",-1.5431125,-2.99353846153846,-8.71175606399242,5.15745032236567e-07,2.68943443588209e-05,6.44232430652323
"8536",-1.91500192307692,-2.75010650887574,-8.65476292494888,5.5765368458548e-07,2.87872690136088e-05,6.36186332760625
"19041",-1.68782596153846,-3.29843786982248,-8.64822710040192,5.62685396556638e-07,2.88562904198798e-05,6.35261142653729
"5791",-1.50434423076923,-2.90052662721893,-8.59080977586511,6.09012915187516e-07,3.0775281335826e-05,6.27111268909454
"13584",-1.80241730769231,-2.90630473372781,-8.57798527704939,6.19902414017955e-07,3.12376912107308e-05,6.25285519685219
"6886",-1.49863365384615,-3.27913313609467,-8.54438949442405,6.49418749327443e-07,3.24711136995008e-05,6.2049325575169
"26444",-1.93345865384615,-4.94728698224852,-8.50565660571032,6.85306147399521e-07,3.39618821654033e-05,6.14951225622896
"26834",-1.57995961538462,-3.19068639053254,-8.45753616634125,7.32841329216709e-07,3.5921222534007e-05,6.08040552960875
"13526",-1.69013653846154,-2.91271597633136,-8.44970547768158,7.40901508377439e-07,3.62668260142956e-05,6.0691329670712
"36215",-1.44784423076923,-3.70933431952663,-8.42733003996662,7.64454355868112e-07,3.72169113170534e-05,6.03688132919459
"19442",-1.52056057692308,-3.93262426035503,-8.40717029734597,7.86354366751867e-07,3.80767197345389e-05,6.00777077934837
"3376",-2.11649038461538,-4.85339053254438,-8.39949410067744,7.94866988838812e-07,3.84371144575904e-05,5.99667327203839
"15654",-1.31928846153846,-3.33851479289941,-8.39149835842198,8.03837811160303e-07,3.8714596135628e-05,5.98510609062722
"4641",-1.6471625,-3.30442307692308,-8.37060878652296,8.27784520322417e-07,3.96552933742188e-05,5.95484867329529
"4966",-1.44851153846154,-2.09275443786982,-8.32350391441796,8.84598581405713e-07,4.20963475911601e-05,5.88642212904297
"11982",-1.54561730769231,-2.68972781065089,-8.30818278948213,9.03955917767094e-07,4.2847271991364e-05,5.8641068206096
"19042",-1.56439230769231,-2.54257396449704,-8.27983922988956,9.40958090057487e-07,4.4425339313634e-05,5.82274744634017
"7039",-1.67252019230769,-4.51719526627219,-8.2390974365964,9.96979928612175e-07,4.66539975012284e-05,5.76312120816774
"22133",-1.72976442307692,-2.86691420118343,-8.20454278002112,1.04726115358603e-06,4.86766442266396e-05,5.71238748920267
"1042",-1.77601442307692,-3.39787573964497,-8.19506850163302,1.06151124644461e-06,4.92008298494799e-05,5.69845108254534
"13882",-1.43044326923077,-3.26566568047337,-8.18327904845844,1.0795306586207e-06,4.97262269661324e-05,5.68109339548128
"5815",-1.40661442307692,-2.10195266272189,-8.17474144635638,1.09278174949264e-06,5.00797901498993e-05,5.66851253614521
"25015",-2.10460096153846,-3.16778402366864,-8.12462754579611,1.17411374123591e-06,5.33308882539382e-05,5.59448068101845
"12942",-1.6318375,-4.02011538461539,-8.11773493690631,1.18579157941443e-06,5.3657815688641e-05,5.58427365658097
"33479",-1.45715096153846,-2.93370710059172,-8.09754887485851,1.22070429671735e-06,5.51048095763582e-05,5.55434628429546
"13770",-2.07411634615385,-3.45525147928994,-8.07298773329875,1.26465638280871e-06,5.65363877107417e-05,5.5178629752165
"4646",-1.48276634615385,-2.64382840236686,-7.97480655355554,1.45779493961319e-06,6.37967288494058e-05,5.37125801452777
"25848",-1.35569326923077,-4.25101183431953,-7.9505214932458,1.51022630924761e-06,6.56117546130076e-05,5.3348055201707
"21243",-1.51835961538462,-3.39268639053254,-7.94266695302596,1.52760806332468e-06,6.6286751337189e-05,5.32299948010403
"41231",-1.72402884615385,-3.16767455621302,-7.93213319980314,1.55125156775072e-06,6.72315049188366e-05,5.3071539292911
