"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"27790",6.92867019230769,-0.699920118343195,27.3285051921708,1.63995277612522e-13,2.27565689113035e-09,20.9772786355191
"18830",7.27495576923077,-0.635718934911242,26.569291391962,2.4124302583789e-13,2.27565689113035e-09,20.6439057024234
"4429",6.23067115384615,0.23951775147929,26.4539749790251,2.5604611167348e-13,2.27565689113035e-09,20.5921554870337
"27830",7.28270288461538,-0.830647928994084,26.3774690916097,2.66401765462355e-13,2.27565689113035e-09,20.5576564449017
"5332",7.34987884615384,-0.0264792899408285,26.0462977555832,3.16688036284108e-13,2.27565689113035e-09,20.4067773154951
"18790",7.15939134615384,-0.524133136094675,25.1361801314294,5.15032104245878e-13,3.08409807890836e-09,19.978820404818
"14326",6.98064519230769,-0.332920118343195,24.2936588942202,8.20344745699489e-13,3.79504344156106e-09,19.5643663342563
"16090",7.00324038461538,-0.807224852071006,24.1187794287411,9.05313189308854e-13,3.79504344156106e-09,19.4760327418563
"23332",6.98406826923077,-0.967372781065088,23.8912195910998,1.03024728806043e-12,3.79504344156106e-09,19.3598659644308
"9826",6.64313461538461,0.00253254437869806,23.8475590772108,1.05626191699214e-12,3.79504344156106e-09,19.3374177737853
"35027",6.8413625,-1.38542307692308,23.6109873868391,1.20999992179535e-12,3.85960299498766e-09,19.2148767057302
"14286",7.0079625,-0.236846153846154,23.3817584066194,1.38200036251716e-12,3.85960299498766e-09,19.0946595866474
"7088",7.27267788461538,-1.46257100591716,23.3638482979118,1.39649973377605e-12,3.85960299498766e-09,19.0852047113976
"31387",6.53390769230769,-0.41253550295858,23.1620749394334,1.5715776884449e-12,4.03322962629548e-09,18.9780583900748
"9786",6.72099807692308,-0.013875739644971,22.7892428506222,1.95996053206704e-12,4.63399966134992e-09,18.7769912679536
"25090",7.28330096153846,-0.796023668639054,22.6602402912654,2.11729462675973e-12,4.63399966134992e-09,18.7064716128839
"32327",7.17932019230769,-1.69645857988166,22.6020782974289,2.19260191608307e-12,4.63399966134992e-09,18.6745152959783
"38627",5.00346826923077,-0.146372781065089,22.4514703960537,2.40124771552125e-12,4.79302384283127e-09,18.5912941704348
"39487",7.94359615384615,-1.50725147928994,22.1850449330225,2.82417731892087e-12,5.34051931007936e-09,18.4423885466322
"3531",6.82778653846154,-0.278707100591716,21.5213054794366,4.26544257394093e-12,7.64730283573641e-09,18.0617771489409
"33228",6.61964230769231,-1.1743875739645,21.4471929304316,4.46974197863744e-12,7.64730283573641e-09,18.0184010448358
"1689",6.81863461538461,0.305647928994082,21.2872759806979,4.94710920303866e-12,7.89721855733519e-09,17.9241909079154
"34126",8.4274673076923,-2.03323372781065,21.1708727273664,5.32876152967771e-12,7.89721855733519e-09,17.8550819528356
"11607",8.28096153846154,-2.63966863905326,21.1238221805984,5.49185923127947e-12,7.89721855733519e-09,17.8270192068415
"25992",6.81610480769231,-0.920849112426035,21.0696137527636,5.68641476168038e-12,7.89721855733519e-09,17.7945948258924
"19727",7.90481826923077,-1.11983431952663,21.0618662144642,5.71481762617148e-12,7.89721855733519e-09,17.7899525874221
"17892",7.37043846153846,-1.17779289940828,20.9628461715306,6.09150180213706e-12,8.10598400922157e-09,17.7304416030074
"17897",5.79950961538461,-0.943505917159763,20.7925766465427,6.8027331337666e-12,8.72912138439644e-09,17.6273262611141
"17932",7.0890875,-1.03203846153846,20.711573728659,7.17181577538421e-12,8.88538513771653e-09,17.5779196988178
"17935",6.53760480769231,-1.69173372781065,20.4984119542384,8.24930383229302e-12,9.87964124634854e-09,17.4468090356849
"1729",7.23112403846154,0.459292899408284,20.4091308986788,8.75093948841249e-12,1.01423388670701e-08,17.3914175283508
"3493",7.27986538461539,-2.10549408284024,20.2632753960645,9.64195526946225e-12,1.07987445595916e-08,17.3003129585932
"18837",9.45855,-1.90026923076923,20.2209369444431,9.91841048920154e-12,1.07987445595916e-08,17.2737238310296
"792",7.51489903846153,-0.0602071005917182,20.1649713593537,1.02969260893096e-11,1.08811252194943e-08,17.2384768460794
"25130",7.28365865384615,-0.782789940828402,20.1180349431762,1.06262885892705e-11,1.09083406492542e-08,17.2088284093517
"10730",8.42901346153846,-1.83644674556213,20.0394452724202,1.12032567625379e-11,1.11811614505896e-08,17.1590048235214
"25089",8.09425769230769,-1.74007396449704,19.912824729953,1.22044711263962e-11,1.18512011648727e-08,17.0782517893965
"7086",6.82905288461538,-0.955878698224852,19.8463934374515,1.27676579775034e-11,1.20718206177295e-08,17.0356464468886
"11647",8.06527980769231,-2.6043875739645,19.7500303536396,1.36345413690856e-11,1.25609086371763e-08,16.9735505201403
"11638",7.39834038461538,-2.10226331360947,19.6856400570813,1.42487451082436e-11,1.27985790748521e-08,16.9318624613464
"18797",8.47870288461538,-1.61810946745562,19.558224940566,1.55530676324112e-11,1.3629418706461e-08,16.8489055805018
"15187",8.01549807692308,-0.93337573964497,19.5139575268411,1.60356361131748e-11,1.37177230931013e-08,16.8199386155242
"43127",5.55326826923077,-0.70914201183432,19.4411898222074,1.68640205292923e-11,1.38722659260275e-08,16.7721578790992
"17940",5.42602115384615,-0.99198224852071,19.4136360904519,1.71895335471376e-11,1.38722659260275e-08,16.7540120164425
"11589",6.92835288461538,-1.52622485207101,19.3982184959359,1.73745989777405e-11,1.38722659260275e-08,16.7438456897265
"18801",7.08643653846154,-2.44416863905325,19.3549961968447,1.79048691607782e-11,1.39498625869539e-08,16.715295634995
"25129",7.98609711538461,-1.73823668639053,19.2968878900639,1.86452034752707e-11,1.39498625869539e-08,16.676797696101
"5297",6.42599615384615,-1.0022899408284,19.2727116187011,1.89628053099685e-11,1.39498625869539e-08,16.6607414001665
"11598",7.30757115384615,-2.0985976331361,19.2680404529362,1.9024834166293e-11,1.39498625869539e-08,16.6576364678385
"26032",7.03457211538461,-0.971352071005918,19.1463346713716,2.07198918375428e-11,1.48888998766215e-08,16.5764346079265
"7126",6.63069807692308,-0.846414201183432,19.1066026045704,2.13076612304985e-11,1.50110384382467e-08,16.5497981372591
"5292",7.50941538461538,0.154390532544379,19.0425841089036,2.2292530208082e-11,1.53069942213646e-08,16.5067472821667
"837",7.67477307692308,-1.68849112426035,19.0244777030209,2.25798294896135e-11,1.53069942213646e-08,16.4945413556996
"16130",6.98616730769231,-0.692349112426035,18.9951347704546,2.30538606596204e-11,1.5338928882213e-08,16.4747326300844
"27789",7.8612048076923,-1.81831065088757,18.8718731502171,2.51645410432931e-11,1.62538272005679e-08,16.3911412793869
"13430",7.7904048076923,-1.54073372781065,18.8499382748014,2.55613351069229e-11,1.62538272005679e-08,16.3762011528615
"27829",7.74604615384615,-1.54952071005917,18.8267240197552,2.59885686380525e-11,1.62538272005679e-08,16.3603682172056
"19687",8.02794038461538,-1.0595325443787,18.8133336945916,2.62384696939224e-11,1.62538272005679e-08,16.351225517608
"27832",8.51699134615385,-1.73105621301775,18.6692145442677,2.90968194590663e-11,1.74733618417196e-08,16.2523563211014
"13390",8.01164230769231,-1.68723372781065,18.6652589809128,2.9179818823323e-11,1.74733618417196e-08,16.2496306032815
"26036",6.54279038461538,-2.71826331360947,18.6311494068168,2.99061288534415e-11,1.7614709894677e-08,16.2260992380988
