"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3954",-1.77621428571429,-3.78735969387755,-11.8896100796356,5.19359635685829e-09,4.70619693269041e-07,11.0462773826792
"5742",-1.66754315476191,-3.03400510204082,-11.8705725518158,5.30785549079301e-09,4.76134793937389e-07,11.0241219780914
"1430",-1.80729166666667,-2.70982142857143,-11.840531246671,5.49361192726755e-09,4.87857522353061e-07,10.9890969346614
"8592",-1.44257440476191,-2.67557653061224,-11.550734632175,7.68389960719961e-09,6.24388626208083e-07,10.6471675637681
"2999",-1.76694791666667,-3.24148214285714,-11.348500845277,9.75089115868344e-09,7.64387890322191e-07,10.404112074979
"7007",-2.14580952380953,-4.03800765306122,-11.336390231193,9.8920704678263e-09,7.66970969117044e-07,10.3894388280645
"22342",-1.59712648809524,-3.29523724489796,-11.1832578926948,1.18765804158763e-08,9.01119644273544e-07,10.2027365907067
"766",-1.8410193452381,-3.83920918367347,-10.9693570390055,1.53841929944764e-08,1.135641896611e-06,9.9382721802156
"10242",-1.95085267857143,-1.71644132653061,-10.8557388995937,1.76798816476592e-08,1.26555807357881e-06,9.79602406056888
"226",-1.96182142857143,-3.89533418367347,-10.8243524568501,1.83761238140358e-08,1.30485209439425e-06,9.7565090766219
"2399",-1.79743005952381,-3.4863137755102,-10.7837482388303,1.93202134765417e-08,1.3636914822994e-06,9.70524701456255
"13165",-1.78262351190476,-4.33474489795918,-10.6347973681136,2.32478942512223e-08,1.57805102874245e-06,9.51581580506318
"8859",-1.95027827380953,-3.82029336734694,-10.4778943661734,2.83141604806625e-08,1.84761629523262e-06,9.31388914069657
"5267",-1.63577827380953,-3.56686479591837,-10.3245269711746,3.44081791614727e-08,2.13517515276438e-06,9.11410982179628
"25844",-1.87029166666667,-4.84189285714286,-10.2260221799922,3.90434826531358e-08,2.3688830836448e-06,8.98452366644914
"10562",-1.69429166666667,-3.33753571428571,-10.1967461292841,4.05451911070927e-08,2.44742377597549e-06,8.94581632138503
"9161",-1.86453125,-3.93233928571429,-10.1377718046373,4.37589557576218e-08,2.59341532957039e-06,8.8675719372212
"757",-1.88582589285714,-4.18077806122449,-10.1375970491436,4.37688698976404e-08,2.59341532957039e-06,8.86733953889835
"16933",-1.84563988095238,-2.85239030612245,-10.0713770592635,4.77022872932553e-08,2.80304335930666e-06,8.77904586391075
"1579",-1.96183779761905,-2.56646173469388,-9.96148365639716,5.5077715287255e-08,3.17328241589155e-06,8.63149675769513
"11029",-1.75827529761905,-3.94767602040816,-9.79675706238742,6.84774481969335e-08,3.85136733644753e-06,8.40790211134547
"27338",-1.39924255952381,-3.52502806122449,-9.74547345982453,7.33218711792347e-08,4.06982716112925e-06,8.33769088240729
"8802",-1.68903422619048,-2.92190306122449,-9.63420141905545,8.51230134597015e-08,4.63312401830661e-06,8.1843587130249
"18123",-1.62451785714286,-3.15222193877551,-9.62301500237747,8.64158744681002e-08,4.68908679943062e-06,8.16886829554813
