"ensembl_gene_id","external_gene_name","description","Given_id","log2FoldChange","AveExpr","t","P.Value","padj","B"
"ENSG00000121410","A1BG","alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]",1,-0.413732242,0.984975082,-2.79332853,0.008382557,0.02794885,-4.022925863
"ENSG00000175899","A2M","alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]",2,-0.350948313,0.23221201,-1.286984292,0.206499353,0.324085144,-6.807378952
"ENSG00000291190","A2MP1","alpha-2-macroglobulin pseudogene 1 [Source:NCBI gene (formerly Entrezgene);Acc:3]",3,-0.440100496,1.431093954,-2.018791464,0.0511776,0.112749571,-5.659522354
"ENSG00000171428","NAT1","N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7645]",9,-0.138920337,0.847680147,-0.899892992,0.37429295,0.502214962,-7.226959871
"ENSG00000156006","NAT2","N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7646]",10,-0.16243006,0.666092729,-1.065985017,0.293688108,0.420231922,-7.063961039
"ENSG00000196136","SERPINA3","serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]",12,-0.075663591,0.567911765,-0.531605116,0.598338857,0.704285746,-7.493295875
"ENSG00000114771","AADAC","arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17]",13,-0.259017857,0.478408088,-1.902186031,0.065354828,0.135767823,-5.870925134
"ENSG00000127837","AAMP","angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]",14,-0.104977976,0.637887663,-0.768525408,0.447301133,0.571895418,-7.337206865
"ENSG00000129673","AANAT","aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]",15,-0.138651885,0.224354575,-1.161803265,0.253133215,0.376585465,-6.95819107
"ENSG00000090861","AARS1","alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]",16,-0.55446379,2.370215686,-3.535424058,0.001162438,0.005949537,-2.152325561
"ENSG00000183044","ABAT","4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]",18,-0.339653373,3.650794118,-1.4204248,0.164282155,0.272964665,-6.631243665
"ENSG00000165029","ABCA1","ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]",19,-0.42198621,1.402125,-1.182368574,0.244985401,0.367426381,-6.934389609
"ENSG00000107331","ABCA2","ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]",20,-0.47923006,0.363230392,-2.285449949,0.028420742,0.072126036,-5.139506299
"ENSG00000167972","ABCA3","ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]",21,-0.524946925,1.251321078,-3.989798644,0.000319307,0.002104227,-0.903254698
"ENSG00000131269","ABCB7","ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]",22,-0.133696131,0.170379902,-1.280340471,0.208798938,0.326480042,-6.815737472
"ENSG00000236342","ABCF1","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]",23,-0.245227579,-0.166335784,-0.982530774,0.332544175,0.460490657,-7.149119869
"ENSG00000206490","ABCF1","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]",23,-0.245227579,-0.166335784,-0.982530774,0.332544175,0.460490657,-7.149119869
"ENSG00000236149","ABCF1","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]",23,-0.245227579,-0.166335784,-0.982530774,0.332544175,0.460490657,-7.149119869
"ENSG00000231129","ABCF1","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]",23,-0.245227579,-0.166335784,-0.982530774,0.332544175,0.460490657,-7.149119869
"ENSG00000204574","ABCF1","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]",23,-0.245227579,-0.166335784,-0.982530774,0.332544175,0.460490657,-7.149119869
"ENSG00000232169","ABCF1","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]",23,-0.245227579,-0.166335784,-0.982530774,0.332544175,0.460490657,-7.149119869
"ENSG00000225989","ABCF1","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]",23,-0.245227579,-0.166335784,-0.982530774,0.332544175,0.460490657,-7.149119869
"ENSG00000198691","ABCA4","ATP binding cassette subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:34]",24,-0.66733631,1.011214461,-4.312733719,0.0001241,0.000974327,0.018887881
"ENSG00000097007","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]",25,-0.265787698,0.833467729,-2.190932325,0.035165875,0.084871199,-5.329455407
"ENSG00000002726","AOC1","amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]",26,-0.41067748,0.781485703,-2.523228041,0.016295581,0.046845812,-4.635983883
"ENSG00000143322","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]",27,-0.266060913,0.112092729,-1.370341151,0.179257564,0.291373009,-6.699183005
"ENSG00000281879","ABO","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:79]",28,-0.350906548,0.238136846,-2.496139138,0.017386367,0.049359033,-4.695128566
"ENSG00000175164","ABO","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:79]",28,-0.350906548,0.238136846,-2.496139138,0.017386367,0.049359033,-4.695128566
"ENSG00000278741","ABR","ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]",29,-0.485513194,1.074602941,-3.322276663,0.002090547,0.009478384,-2.713944816
"ENSG00000276016","ABR","ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]",29,-0.485513194,1.074602941,-3.322276663,0.002090547,0.009478384,-2.713944816
"ENSG00000159842","ABR","ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]",29,-0.485513194,1.074602941,-3.322276663,0.002090547,0.009478384,-2.713944816
"ENSG00000060971","ACAA1","acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]",30,-0.641981746,0.387097631,-2.062102531,0.046640357,0.105151728,-5.578458519
"ENSG00000278540","ACACA","acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]",31,-0.655197321,0.798634395,-1.891552906,0.066801841,0.138087376,-5.889696848
"ENSG00000275176","ACACA","acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]",31,-0.655197321,0.798634395,-1.891552906,0.066801841,0.138087376,-5.889696848
"ENSG00000076555","ACACB","acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]",32,-0.514117262,0.372232435,-1.472733536,0.149709493,0.254891848,-6.557970333
