"ensembl_gene_id","external_gene_name","description","Given_id","log2FoldChange","AveExpr","t","P.Value","padj","B"
"ENSG00000121410","A1BG","alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]",1,0.227652344,-0.014502604,0.69186554,0.501125407,0.59517096,-7.222099697
"ENSG00000175899","A2M","alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]",2,-0.282085938,-0.472239583,-0.929712019,0.369370018,0.468110793,-7.025289892
"ENSG00000291190","A2MP1","alpha-2-macroglobulin pseudogene 1 [Source:NCBI gene (formerly Entrezgene);Acc:3]",3,-0.747582031,1.951255208,-2.432900781,0.030072886,0.06331259,-4.856456849
"ENSG00000171428","NAT1","N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7645]",9,-0.542515625,0.750536458,-2.699957407,0.018121335,0.0426601,-4.368405618
"ENSG00000156006","NAT2","N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7646]",10,-0.161621094,-0.104236979,-0.769456056,0.455301097,0.552347753,-7.163663983
"ENSG00000196136","SERPINA3","serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]",12,-0.296820313,-0.066768229,-1.151980075,0.26996092,0.365481332,-6.796271192
"ENSG00000114771","AADAC","arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17]",13,-0.286394531,0.145304688,-1.890387101,0.081078501,0.139648848,-5.7799916
"ENSG00000127837","AAMP","angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]",14,-0.727429688,-0.356921875,-4.213284207,0.001002164,0.005057571,-1.468702387
"ENSG00000129673","AANAT","aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]",15,-0.152675781,0.033408854,-0.815133396,0.429596491,0.527758235,-7.126615014
"ENSG00000090861","AARS1","alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]",16,-1.597984375,-2.978528646,-5.694011264,7.21e-05,0.000673012,1.245711379
"ENSG00000183044","ABAT","4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]",18,-1.608703125,-3.58340625,-5.418003447,0.000115179,0.000971158,0.759770285
"ENSG00000165029","ABCA1","ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]",19,-0.368371094,1.625111979,-0.88896252,0.39008756,0.48873026,-7.062679496
"ENSG00000107331","ABCA2","ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]",20,0.072691406,0.247257813,0.443582293,0.664597325,0.740189605,-7.369543539
"ENSG00000167972","ABCA3","ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]",21,-0.669136719,0.834122396,-4.358161286,0.000765378,0.004146351,-1.192889229
"ENSG00000131269","ABCB7","ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]",22,-1.021367188,0.161005208,-5.124026462,0.000191916,0.001452972,0.231278464
"ENSG00000204574","ABCF1","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]",23,0.667738281,-0.037197917,3.081717379,0.00869937,0.024390326,-3.647999848
"ENSG00000206490","ABCF1","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]",23,0.667738281,-0.037197917,3.081717379,0.00869937,0.024390326,-3.647999848
"ENSG00000225989","ABCF1","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]",23,0.667738281,-0.037197917,3.081717379,0.00869937,0.024390326,-3.647999848
"ENSG00000232169","ABCF1","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]",23,0.667738281,-0.037197917,3.081717379,0.00869937,0.024390326,-3.647999848
